vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万电子行业成分股,1,指数成分股,,,"|指数代码|指数简称|股票代码|股票简称|权重(%)|收盘价(元)|涨跌(元)|涨跌幅(%)|指数贡献点|成交量(万股)|成交额(万元)|总股本(亿股)|总市值(亿元)|自由流通股本(亿股)|自由流通市值(亿元)|证监会行业|纳入日期|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|801080.SI|申万电子|688981.SH|中芯国际|-|117.41|-1.77|-1.49|-|3516.51|411666.86|85.62|10052.95|17.57|2063.23|计算机、通信和其他电子设备制造业|2023-09-25|
|801080.SI|申万电子|688825.SH|长鑫科技|-|56.73|-0.47|-0.82|-|20839.02|1163369.37|678.84|38510.65|45.03|2554.57|计算机、通信和其他电子设备制造业|2026-08-03|
|801080.SI|申万电子|688820.SH|盛合晶微|-|131.66|5.28|4.18|-|2616.37|342889.41|18.63|2452.53|1.73|227.64|计算机、通信和其他电子设备制造业|2026-04-28|
|801080.SI|申万电子|688809.SH|强一股份|-|494.81|-4.19|-0.84|-|222.99|109211.46|1.30|641.07|0.26|128.21|计算机、通信和其他电子设备制造业|2026-01-08|
|801080.SI|申万电子|688807.SH|优迅股份|-|340.84|-12.78|-3.61|-|261.97|89907.53|0.80|272.67|0.16|54.53|计算机、通信和其他电子设备制造业|2025-12-26|
|801080.SI|申万电子|688802.SH|沐曦股份|-|489.00|-4.80|-0.97|-|162.26|77323.72|4.00|1956.49|0.19|90.60|计算机、通信和其他电子设备制造业|2025-12-24|
|801080.SI|申万电子|688800.SH|瑞可达|-|66.83|-2.47|-3.56|-|1197.51|80380.48|2.88|192.73|1.70|113.94|计算机、通信和其他电子设备制造业|2023-09-25|
|801080.SI|申万电子|688798.SH|艾为电子|-|54.06|-1.00|-1.82|-|559.10|29793.79|2.33|126.03|1.09|59.17|计算机、通信和其他电子设备制造业|2023-09-25|
|801080.SI|申万电子|688797.SH|臻宝科技|-|242.60|-8.27|-3.30|-|200.07|48343.28|1.55|376.73|0.29|70.82|计算机、通信和其他电子设备制造业|2026-07-01|
|801080.SI|申万电子|688795.SH|摩尔线程|-|357.85|-6.20|-1.70|-|648.89|229496.71|4.70|1682.00|0.56|200.40|计算机、通信和其他电子设备制造业|2025-12-12|
|801080.SI|申万电子|688790.SH|昂瑞微|-|97.05|-1.84|-1.86|-|53.00|5130.99|1.00|96.60|0.13|12.30|计算机、通信和其他电子设备制造业|2025-12-23|
|801080.SI|申万电子|688785.SH|恒运昌|-|283.05|-14.71|-4.94|-|39.13|11231.38|0.68|191.63|0.14|38.34|专用设备制造业|2026-02-04|
|801080.SI|申万电子|688783.SH|西安奕材|-|25.90|-0.52|-1.97|-|1432.72|36776.24|40.38|1045.79|2.69|69.65|计算机、通信和其他电子设备制造业|2025-11-04|
|801080.SI|申万电子|688781.SH|视涯科技|-|35.05|-1.76|-4.78|-|262.18|9238.84|10.00|350.50|0.41|14.31|计算机、通信和其他电子设备制造业|2026-04-01|
|801080.SI|申万电子|688775.SH|影石创新|-|94.47|-3.09|-3.17|-|480.93|45399.26|4.01|378.82|1.33|126.08|计算机、通信和其他电子设备制造业|2025-06-18|
|801080.SI|申万电子|688766.SH|普冉股份|-|388.00|-10.95|-2.74|-|752.24|289121.18|1.49|576.97|0.90|347.91|计算机、通信和其他电子设备制造业|2023-09-25|
|801080.SI|申万电子|688729.SH|屹唐股份|-|21.85|-0.48|-2.15|-|3555.50|76698.32|29.56|645.79|10.68|233.38|专用设备制造业|2025-07-15|
|801080.SI|申万电子|688728.SH|格科微|-|13.88|-0.13|-0.93|-|2197.07|30084.47|26.01|360.96|9.19|127.60|计算机、通信和其他电子设备制造业|2023-09-25|
|801080.SI|申万电子|688727.SH|恒坤新材|-|43.85|-0.78|-1.75|-|331.91|14338.26|4.49|197.03|0.54|23.69|计算机、通信和其他电子设备制造业|2025-11-25|
|801080.SI|申万电子|688721.SH|龙图光罩|-|37.70|-1.05|-2.71|-|305.29|11388.45|1.34|50.33|0.55|20.79|计算机、通信和其他电子设备制造业|2024-08-13|
|801080.SI|申万电子|688720.SH|艾森股份|-|58.80|-1.66|-2.75|-|356.64|20700.91|1.23|72.11|0.78|45.98|计算机、通信和其他电子设备制造业|2023-12-13|
|801080.SI|申万电子|688711.SH|宏微科技|-|23.61|-1.39|-5.56|-|1102.90|25985.46|2.17|51.18|1.79|42.25|计算机、通信和其他电子设备制造业|2023-09-25|
|801080.SI|申万电子|688709.SH|成都华微|-|23.35|-0.14|-0.60|-|444.94|10237.58|6.37|148.70|1.60|37.33|计算机、通信和其他电子设备制造业|2024-02-22|
|801080.SI|申万电子|688702.SH|盛科通信|-|301.50|-5.50|-1.79|-|654.29|194806.80|4.10|1236.15|1.16|350.95|软件和信息技术服务业|2023-09-25|
|801080.SI|申万电子|688699.SH|明微电子|-|55.75|-0.26|-0.46|-|250.79|13777.49|1.10|61.36|0.55|30.91|软件和信息技术服务业|2023-09-25|
|801080.SI|申万电子|688693.SH|锴威特|-|71.88|-1.86|-2.52|-|142.51|10128.28|0.74|52.96|0.30|21.30|计算机、通信和其他电子设备制造业|2023-09-25|
|801080.SI|申万电子|688691.SH|灿芯股份|-|58.91|-1.50|-2.48|-|272.89|15999.91|1.20|70.69|0.73|42.98|软件和信息技术服务业|2024-04-18|
|801080.SI|申万电子|688689.SH|银河微电|-|36.39|-0.78|-2.10|-|499.70|17919.60|1.45|52.73|0.61|22.24|计算机、通信和其他电子设备制造业|2023-09-25|
|801080.SI|申万电子|688683.SH|莱尔科技|-|28.53|0.12|0.42|-|97.26|2722.25|1.61|45.96|0.76|21.61|计算机、通信和其他电子设备制造业|2023-09-25|
|801080.SI|申万电子|688678.SH|福立旺|-|20.41|-0.81|-3.82|-|1704.92|34807.39|4.03|82.27|2.65|53.99|通用设备制造业|2023-09-25|
|801080.SI|申万电子|688662.SH|富信科技|-|82.66|-5.18|-5.90|-|1235.12|101910.00|1.15|94.82|0.74|61.08|计算机、通信和其他电子设备制造业|2023-09-25|
|801080.SI|申万电子|688661.SH|和林微纳|-|97.03|-5.37|-5.24|-|385.59|37346.00|1.52|147.38|0.72|70.17|计算机、通信和其他电子设备制造业|2023-09-25|
|801080.SI|申万电子|688655.SH|迅捷兴|-|60.12|3.80|6.75|-|1744.01|103823.91|1.33|80.19|0.71|42.88|计算机、通信和其他电子设备制造业|2023-09-25|
|801080.SI|申万电子|688653.SH|康希通信|-|12.94|-0.25|-1.90|-|868.75|11174.01|4.24|54.93|3.01|38.89|计算机、通信和其他电子设备制造业|2023-11-24|
|801080.SI|申万电子|688652.SH|京仪装备|-|127.24|-1.76|-1.36|-|342.18|42929.87|1.68|213.76|1.01|128.02|专用设备制造业|2023-12-06|
|801080.SI|申万电子|688620.SH|安凯微|-|14.66|-0.14|-0.95|-|1071.23|15421.77|3.92|57.47|2.32|34.06|计算机、通信和其他电子设备制造业|2023-09-25|
|801080.SI|申万电子|688608.SH|恒玄科技|-|92.37|-0.73|-0.78|-|623.05|57145.47|2.37|218.81|1.52|140.42|计算机、通信和其他电子设备制造业|2023-09-25|
